3.085949801852723162e+00,3.084675010874647239e+00,3.086378407336495489e+00,3.086021205814267976e+00,3.084808873269379692e+00,3.085659953713107306e+00,3.083439173631716379e+00,3.083184491675115435e+00,3.084053149807426841e+00,3.085959825716173999e+00,3.086656904864541140e+00,3.082406863686752985e+00,3.084101167011153777e+00,3.083984611271338494e+00,3.084584600770400087e+00,3.083156466815093921e+00,3.084284050058128557e+00
3.085433145505425578e+00,3.082218875046791151e+00,3.077177633362222053e+00,3.056569498536105822e+00,3.033815706245421850e+00,2.959552346744890094e+00,2.776748823181526937e+00,2.676176692489824482e+00,2.606805804244451075e+00,2.525054896445095842e+00,2.438061014226267975e+00,2.299359798141185074e+00,2.073449288544818803e+00,1.814464136191856980e+00,2.443701736675842895e+00,2.447556161198706892e+00,2.490037430550912312e+00
3.066351490242398725e+00,3.018270230420066813e+00,2.793600747376970617e+00,2.588820714306602877e+00,2.440405659511556191e+00,2.262652336032282108e+00,1.868302134425046557e+00,1.544988918691789337e+00,2.580775834835692617e+00,2.752707346412984091e+00,3.015480813081226952e+00,3.187918382315593213e+00,3.566747757192089363e+00,3.705690374285415700e+00,4.639490060569082530e+00,6.138504219685785301e+00,6.369537015656605128e+00
2.972100263944286169e+00,2.662500339156366636e+00,2.393657858416512685e+00,2.035074762405298276e+00,1.576352396130457301e+00,1.477010220577853472e+00,3.118079181422171331e+00,3.357839106569826093e+00,3.716618614795349274e+00,4.428135533756828224e+00,6.361439255420277661e+00,6.667687033758726400e+00,6.831295887570011161e+00,7.703151891397863160e+00,7.848644558276381744e+00,1.003204666941410395e+01,1.033611969366847205e+01
2.749140334237505812e+00,2.342556389886810919e+00,1.836672295509912400e+00,1.475804386419530712e+00,3.021015682373803468e+00,3.624060272808234284e+00,4.106016250124308264e+00,4.774246644860300037e+00,7.062950433494426861e+00,7.514966782399939760e+00,8.113869400492880857e+00,1.048954027717221393e+01,1.082928406973273283e+01,1.137985189235563865e+01,1.343242159880328579e+01,1.462768143515687314e+01,1.487378164698702854e+01
2.457102885554864002e+00,1.935112360843503465e+00,1.438683198167640676e+00,1.913995969547265918e+00,3.878116474607777864e+00,4.597262804794644886e+00,7.024512070965513111e+00,7.732781044450696584e+00,8.380265678626958703e+00,1.055886869391539662e+01,1.146335805162181742e+01,1.275236592032428717e+01,1.478205748441640921e+01,1.515882820467003000e+01,1.608765968294719784e+01,1.811130995440149860e+01,1.900767351009186612e+01
2.209817289040958421e+00,1.506037530564889648e+00,1.828414101827056992e+00,4.076493505621695768e+00,4.935941817986599922e+00,6.528671114032134071e+00,8.494829171279635105e+00,9.643236312278057554e+00,1.192563011794552708e+01,1.275696620834727568e+01,1.489605922088547985e+01,1.621509563932647069e+01,1.707887886499130303e+01,1.964774032027514394e+01,2.060019128908736974e+01,2.241086810910045202e+01,2.342449839939810730e+01
1.881620527968279388e+00,1.602504422787156324e+00,2.537075345542380678e+00,4.917744983306128859e+00,6.417930217193543285e+00,8.614993565669552211e+00,1.004157209104001325e+01,1.251572750162292103e+01,1.352764550993538251e+01,1.543358472883766552e+01,1.776036944710781995e+01,1.966338000206890513e+01,2.090969436867877107e+01,2.337355876763216855e+01,2.483853943780284368e+01,2.648665716646314650e+01,2.860435543953790827e+01
1.561309502294310647e+00,1.981091129796633599e+00,4.478906477512674122e+00,6.063168642642806638e+00,8.867002824575848763e+00,1.025872659674418585e+01,1.278604428422597650e+01,1.416676548054757134e+01,1.715634273684142386e+01,1.858189897282681358e+01,2.106659841164196223e+01,2.281887201909700735e+01,2.442422347106024461e+01,2.792734538222592633e+01,2.864084616691410190e+01,3.171262316489877264e+01,3.353329440844459697e+01
1.478756279162368070e+00,2.734523805718536593e+00,5.349657710265714350e+00,7.393930033052013684e+00,9.977491095754640327e+00,1.209962900450765133e+01,1.459170753320827174e+01,1.707738373612561844e+01,1.908054405108982365e+01,2.174022535245809351e+01,2.478154310750026568e+01,2.667454134075265415e+01,2.919330317795265728e+01,3.191680415123745718e+01,3.317327582285759746e+01,3.588120321651933153e+01,3.887577704298661985e+01
1.734263035041901713e+00,3.233046997013931723e+00,6.436778422756427531e+00,8.411861747182580729e+00,1.149965179307120344e+01,1.410245811498385926e+01,1.647230371391008674e+01,1.930427472132021904e+01,2.295464964243043227e+01,2.494331977904684194e+01,2.703655165019512907e+01,2.983424673444462627e+01,3.170096758304789830e+01,3.414577970732044321e+01,3.713451592526068623e+01,4.010657377313976468e+01,4.174972294346072488e+01
