3.222603545377033640e+00,3.223176036090076302e+00,3.218720165601296923e+00,3.223124360260124277e+00,3.220560827771008938e+00,3.223451619027941195e+00,3.222234850127680073e+00,3.222415868062874722e+00,3.222614930564419389e+00,3.220722624790425481e+00,3.219766545581535411e+00,3.219330094278891163e+00,3.221505147895665111e+00
3.222410992348561098e+00,3.220345929656797779e+00,3.223054064431311705e+00,3.202196940643904810e+00,3.180357970685852464e+00,2.939700343535590399e+00,2.774648408283262757e+00,2.588454223961816680e+00,2.319766959145601604e+00,2.050611014911907226e+00,5.317222459227041731e-04,1.455910731721896112e-03,5.260744702543826423e-03
3.212284712920491003e+00,3.175559377403933681e+00,2.987989332973730594e+00,2.775701293544098114e+00,2.608961561634620452e+00,2.213633195386847774e+00,4.186630086343041263e-02,2.927823487479707110e-01,5.820576746356930231e-01,7.130705093453715282e-01,1.407262515661224844e+00,2.420671771611637713e+00,2.539658879860097418e+00
3.156229135810389330e+00,2.871494771176375416e+00,2.619543499000803521e+00,2.386442747920681118e+00,2.048591993199169181e+00,7.219312829895074834e-01,7.681035019640269912e-01,2.531859192910037137e+00,2.890658059895541143e+00,3.236021411806959236e+00,3.420759586007707131e+00,4.815995542938695806e+00,4.968825713991931181e+00
3.012145172448262187e+00,2.591789093265984611e+00,2.216041679665091024e+00,1.893140119487265682e+00,1.006637826539703795e+00,9.479003429841922346e-01,2.844966843806465473e+00,3.553903917379093613e+00,5.213495524880739751e+00,5.632551118021690506e+00,6.980610132744514473e+00,7.209672394645259885e+00,7.600882021486206064e+00
2.783326913080823584e+00,2.334359351495439938e+00,1.882644707410350504e+00,1.248893335001268312e+00,1.358850745112951675e+00,2.851161200164990639e+00,3.709358025978642726e+00,5.638658174166442549e+00,7.367219540358311392e+00,7.790760205910935099e+00,8.345930243799287496e+00,9.552809581382032178e+00,1.002222672383583202e+01
2.536801821315844307e+00,2.008463854038193830e+00,1.397045287920478662e+00,1.401653801996963544e+00,1.860305845173547246e+00,3.558691167260079169e+00,5.685622787193828742e+00,7.645550850922723463e+00,8.985337556083434762e+00,1.005229096340264228e+01,1.075192905433880064e+01,1.205839538432627478e+01,1.260104109608007583e+01
2.337786198686599981e+00,1.712403459569077135e+00,9.063555761186445903e-01,1.867491833965769565e+00,2.519647219599272958e+00,4.502283654551257008e+00,6.740822273113666441e+00,8.917544634077515298e+00,1.105858183641593584e+01,1.236553061594254288e+01,1.310324883439750820e+01,1.443862052314496758e+01,1.537199961273409698e+01
2.113335229148240124e+00,1.323008525469954844e+00,1.683427418005475129e+00,2.428903132463966941e+00,3.928060315082095855e+00,6.147640070570508541e+00,8.521591107485981809e+00,1.089944375730757997e+01,1.320127583521798265e+01,1.467227431260664794e+01,1.556257465412116403e+01,1.701038936122390055e+01,1.797595732688566272e+01
1.850391884933185516e+00,9.294770309209123837e-01,2.097959069285491474e+00,3.083778723710884684e+00,4.553120088045132796e+00,7.145762252948131277e+00,9.913186186154540280e+00,1.303551968811480322e+01,1.559919785314371588e+01,1.709020204878953564e+01,1.821687214488866857e+01,1.966673384598950491e+01,2.109956132025229891e+01
1.626138304497396048e+00,8.213472550052938193e-01,2.534370813309066328e+00,3.813378465182874599e+00,5.251778632000586811e+00,8.293020165136073985e+00,1.156113821681021747e+01,1.439122631928249696e+01,1.761306512182800788e+01,1.879991608899794997e+01,2.049842823011984549e+01,2.192057366544869623e+01,2.328232869372300229e+01
